Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10939 Bottom transition plate, 450x900 mm",10939,systemramp-standard-ovriga-delar,accessories,10939,"10939 Nedre anslutning, 450x900 mm","10939 Bottom transition plate, 450x900 mm",,,,,,3,,,,,Mått: 450x900 mm,,"Mått: 450x900 mm
Vikt: 3 kg","Dimensions: 450x900mm, 18x35 in
Weight: 3/6,6 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"12754 Landing transition, 100x900 mm",12754,systemramp-standard-ovriga-delar,accessories,12754,"12754 Anslutning, Plattform, 100x900 mm","12754 Landing transition, 100x900 mm",,,,,,1.7,,,,,Mått: 100x900 mm,,"*
Mått: 100x900 mm
Vikt: 1,7 kg","*
Dimensions: 100x900 mm, 4x35 in
Weight: 1,7/3,7 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"11074 Top transition, 150x900 mm",11074,systemramp-standard-ovriga-delar,accessories,11074,"11074 Övre anslutning, Ramp, 150x900 mm","11074 Top transition, 150x900 mm",,,,,,2,,,,,Mått: 150x900 mm,,"Mått: 150x900 mm
Vikt: 2 kg","Dimensions: 150x900 mm, 6x35 in
Weight: 2/4,4 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
13119 Holder for support leg and handrail,13119,systemramp-standard-ovriga-delar,accessories,13119,13119 Räckes- och stödbenshållare,13119 Holder for support leg and handrail,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
12762 Ramp attachment for 900 mm wide ramp,12762,systemramp-standard-ovriga-delar,accessories,12762,"12762 Skarvlist,",12762 Ramp attachment for 900 mm wide ramp,,,,,,,,,,,,,"Bredd 900 mm
Skarvlist för anslutning mellan alla typer av ramper och planer",Splice strip for connections between all types of ramps and panels,,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
12608 Handrail end 90°,12608,systemramp-standard-ovriga-delar,accessories,12608,12608 Räckesavslut 90°,12608 Handrail end 90°,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
12605 Handrail end 180°,12605,systemramp-standard-ovriga-delar,accessories,12605,12605 Räckesavslut 180°,12605 Handrail end 180°,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10250 Base plate, 200x200 mm",10250,systemramp-standard-ovriga-delar,accessories,10250,"10250 Underläggsplatta, 200x200 mm","10250 Base plate, 200x200 mm",,,,,,,,,,,Mått: 200x200 mm,,Mått: 200x200 mm,"Dimensions: 200x200 mm, 6x6 in",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
10998 Handrail connector,10998,systemramp-standard-ovriga-delar,accessories,10998,10998 Räckesförbindelse ledbar,10998 Handrail connector,,,,,,,,,,,,,"Stödben från 150 mm till 1450 mm
(inkl. hållare)","Support legs from 150 mm to 1450 mm
(including holder)",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
11020 Handrail wall bracket,11020,systemramp-standard-ovriga-delar,accessories,11020,11020 Väggfäste för ledstång,11020 Handrail wall bracket,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"13365 Bottom transition plate, PRO, 300x1300 mm",13365,systemramp-professional-ovriga-delar,accessories,13365,"13365 Nedre anslutning, PRO, 300x1300 mm","13365 Bottom transition plate, PRO, 300x1300 mm",,,,,,,,,,,Mått: 300x1300 mm,,Mått: 300x1300 mm,"Dimensions: 300x1300 mm, 12x51,1 in",,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
"13367 Landing transition, PRO, 100x1860 mm",13367,systemramp-professional-ovriga-delar,accessories,13367,"13367 Anslutning, Plattform PRO, 100x1860 mm","13367 Landing transition, PRO, 100x1860 mm",,,,,,,,,,,Mått: 100x1860 mm,,Mått: 100x1860 mm,"Dimensions: 100x1860 mm, 4x73 in",,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
"13366 Top transition, Ramp PRO, 150x1300 mm",13366,systemramp-professional-ovriga-delar,accessories,13366,"13366 Övre anslutning, Ramp PRO, 150x1300 mm","13366 Top transition, Ramp PRO, 150x1300 mm",,,,,,,,,,,Mått: 150x1300 mm,,Mått: 150x1300 mm,"Dimensions: 150x1300 mm, 6x51,1 in",,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
13119 Räckes- och stödbenshållare,13119-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,13119,13119 Räckes- och stödbenshållare,13119 Räckes- och stödbenshållare,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
12765 Ramp attachment for professional wider ramp,12765,systemramp-professional-ovriga-delar,accessories,12765,"12765 Skarvlist PRO, 2-delad, bredare än 900 mm",12765 Ramp attachment for professional wider ramp,,,,,,,,,,,,,Skarvlist för anslutning mellan alla typer av ramper och planer,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
12608 Handrail end 90°,12608-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,12608,12608 Räckesavslut 90°,12608 Handrail end 90°,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
12605 Handrail end 180°,12605-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,12605,12605 Räckesavslut 180°,12605 Handrail end 180°,,,,,,,,,,,,,,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
10998 Railing connector,10998-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,10998,10998,10998 Railing connector,,,,,,,,,,,,,Räckesförbindelse ledbar,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
11020 Handrail wall bracket,11020-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,11020,11020,11020 Handrail wall bracket,,,,,,,,,,,,,Väggfäste för ledstång,,,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
"10250 Base plate, 200x200 mm",10250-systemramp-professional-ovriga-delar,systemramp-professional-ovriga-delar,accessories,10250,"10250 Underläggsplatta, 200x200 mm","10250 Base plate, 200x200 mm",,,,,,,,,,,Mått: 200x200 mm,,Mått: 200x200 mm,"Dimensions: 200x200 mm, 6x6 in",,https://www.feal.se/ramper/system-och-modulramper/systemramp-professional,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-professional
