Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),folded_height_mm (Plain text),folded_depth_mm (Plain text),total_width_mm (Plain text),max_load_kg (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),source_url_sv (Link),source_url_en (Link)
"10851 Loading ramp, 2-piece, 1600x820 mm",10851,fordonsmonterad-2-delad-ramp,fordon,10851,"Fordonsmonterad ramp, 2-delad, 1600x820","10851 Loading ramp, 2-piece, 1600x820 mm",1600,820,961,241,965,400,"(A) Längd plattform: 1600 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1600 mm
(B) Platform width: 820 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10853 Loading ramp, 2-piece, 1800x820 mm",10853,fordonsmonterad-2-delad-ramp,fordon,10853,"Fordonsmonterad ramp, 2-delad, 1800x820","10853 Loading ramp, 2-piece, 1800x820 mm",1800,820,1061,241,965,400,"(A) Längd plattform: 1800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1800 mm
(B) Platform width: 820 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10855 Loading ramp, 2-piece, 2000x820 mm",10855,fordonsmonterad-2-delad-ramp,fordon,10855,"Fordonsmonterad ramp, 2-delad, 2000x820","10855 Loading ramp, 2-piece, 2000x820 mm",2000,820,1161,241,965,400,"(A) Längd plattform: 2000 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2000 mm
(B) Platform width: 820 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10861 Loading ramp, 2-piece, 2200x820 mm",10861,fordonsmonterad-2-delad-ramp,fordon,10861,"Fordonsmonterad ramp, 2-delad, 2200x820","10861 Loading ramp, 2-piece, 2200x820 mm",2200,820,1261,241,965,400,"(A) Längd plattform: 2200 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2200 mm
(B) Platform width: 820 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10863 Loading ramp, 2-piece, 2400x820 mm",10863,fordonsmonterad-2-delad-ramp,fordon,10863,"Fordonsmonterad ramp, 2-delad, 2400x820","10863 Loading ramp, 2-piece, 2400x820 mm",2400,820,1361,241,965,400,"(A) Längd plattform: 2400 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2400 mm
(B) Platform width: 820 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10872 Loading ramp, 2-piece, 2600x820 mm",10872,fordonsmonterad-2-delad-ramp,fordon,10872,"Fordonsmonterad ramp, 2-delad, 2600x820","10872 Loading ramp, 2-piece, 2600x820 mm",2600,820,1461,241,965,400,"(A) Längd plattform: 2600 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2600 mm
(B) Platform width: 820 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10874 Loading ramp, 2-piece, 2800x820 mm",10874,fordonsmonterad-2-delad-ramp,fordon,10874,"Fordonsmonterad ramp, 2-delad, 2800x820","10874 Loading ramp, 2-piece, 2800x820 mm",2800,820,1561,241,965,400,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"12374 Loading ramp, 2-piece, 1600x900 mm",12374,fordonsmonterad-2-delad-ramp,fordon,12374,"Fordonsmonterad ramp, 2-delad, 1600x900","12374 Loading ramp, 2-piece, 1600x900 mm",1600,900,961,241,1045,400,"(A) Längd plattform: 1600 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1600 mm
(B) Platform width: 900 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10852 Loading ramp, 2-piece, 1800x900 mm",10852,fordonsmonterad-2-delad-ramp,fordon,10852,"Fordonsmonterad ramp, 2-delad, 1800x900","10852 Loading ramp, 2-piece, 1800x900 mm",1800,900,1061,241,1045,400,"(A) Längd plattform: 1800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1800 mm
(B) Platform width: 900 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10854 Loading ramp, 2-piece, 2000x900 mm",10854,fordonsmonterad-2-delad-ramp,fordon,10854,"Fordonsmonterad ramp, 2-delad, 2000x900","10854 Loading ramp, 2-piece, 2000x900 mm",2000,900,1161,241,1045,400,"(A) Längd plattform: 2000 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2000 mm
(B) Platform width: 900 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
