Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),source_url_sv (Link),source_url_en (Link)
"11068 Channel ramp, Fixed, 550x210 mm",11068,enkelskena,portable,11068,"Portabel skena, enkel, 550x210","11068 Channel ramp, Fixed, 550x210 mm",550,210,210,,1.5,200,100,,,"Längd: 550 mm
Bredd insida: 210 mm
Vikt: 1,5 kg
Maxlast: 200 kg
Rek. maxhöjd: 100 mm","Length: 550/22 mm/in
Inside width: 210/8 mm/in
Weight: 1,5/3,3 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 100/4 mm/in",https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"11070 Channel ramp, Fixed, 1160x210 mm",11070,enkelskena,portable,11070,"Portabel skena, enkel, 1160x210","11070 Channel ramp, Fixed, 1160x210 mm",1160,210,210,,3.1,200,200,,,"Längd: 1160 mm
Bredd insida: 210 mm
Vikt: 3,1 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1160/46 mm/in
Inside width: 210/8 mm/in
Weight: 3,1/6,8 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"11072 Channel ramp, Fixed, 1060x270 mm",11072,enkelskena,portable,11072,"Portabel skena, enkel, 1060x270","11072 Channel ramp, Fixed, 1060x270 mm",1060,270,270,,3.5,200,200,,,"Längd: 1060 mm
Bredd insida: 270 mm
Vikt: 3,5 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1060/42 mm/in
Inside width: 270/11 mm/in
Weight: 3,5/7,7 kg/ib
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"10743 Channel ramp, Foldable, 1110x210 mm",10743,vikbar-skena,portable,10743,"Portabel skena, 2-delad vikbar, 1110x210","10743 Channel ramp, Foldable, 1110x210 mm",1110,210,210,570,3.8,200,200,,,"Längd: 1110 mm
Bredd insida: 210 mm
Längd ihopvikt: 570 mm
Vikt: 3,8 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1100/43 mm/in
Inside width: 210/8 mm/in
Folded length (cm/in): 57/22
Weight: 3,8/8,3 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10745 Channel ramp, Foldable, 1510x210 mm",10745,vikbar-skena,portable,10745,"Portabel skena, 2-delad vikbar, 1510x210","10745 Channel ramp, Foldable, 1510x210 mm",1510,210,210,770,4.9,200,300,,,"Längd: 1510 mm
Bredd insida: 210 mm
Längd ihopvikt: 770 mm
Vikt: 4,9 kg
Maxlast: 200 kg
Rek. maxhöjd: 300 mm","Length: 1510/59 mm/in
Inside width: 210/8 mm/in
Folded length: 760/30 mm/in
Weight: 4,9/10,8 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 300/12 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10747 Channel ramp, Foldable, 2010x210 mm",10747,vikbar-skena,portable,10747,"Portabel skena, 2-delad vikbar, 2010x210","10747 Channel ramp, Foldable, 2010x210 mm",2010,210,210,1020,6.3,150,400,,,"Längd: 2010 mm
Bredd insida: 210 mm
Längd ihopvikt: 1020 mm
Vikt: 6,3 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2000/79 mm/in
Inside width: 210/8 mm/in
Folded length: 1010/40 mm/in
Weight: 6,3/13,9 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10799 Channel ramp, Foldable, Wide, 2130x270 mm",10799,vikbar-skena,portable,10799,"Portabel skena, 2-delad vikbar, 2130x270","10799 Channel ramp, Foldable, Wide, 2130x270 mm",2130,270,270,1080,8,150,400,,,"Längd: 2130 mm
Bredd insida: 270 mm
Längd ihopvikt: 1080 mm
Vikt: 8 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2120/783 mm/in
Inside width: 270/11 mm/in
Folded length: 1070/42 mm/in
Weight: 8,0/17,6 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10773 Channel ramp, Foldable, Low edge, 1100x180 mm",10773,vikbar-skena,portable,10773,"Portabel skena, 2-delad vikbar, 1100x180, låg kant","10773 Channel ramp, Foldable, Low edge, 1100x180 mm",1100,180,180,560,2.3,200,200,,,"Längd: 1100 mm
Bredd insida: 180 mm
Längd ihopvikt: 560 mm
Vikt: 2,3 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1100/43 mm/in
Inside width: 180/7 mm/in
Folded length: 560/22 mm/in
Weight: 2,3/5,1 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10774 Channel ramp, Foldable, Low edge, 1500x180 mm",10774,vikbar-skena,portable,10774,"Portabel skena, 2-delad vikbar, 1500x180, låg kant","10774 Channel ramp, Foldable, Low edge, 1500x180 mm",1500,180,180,760,3.4,200,300,,,"Längd: 1500 mm
Bredd insida: 180 mm
Längd ihopvikt: 760 mm
Vikt: 3,4 kg
Maxlast: 200 kg
Rek. maxhöjd: 300 mm","Length: 1500/59 mm/in
Inside width: 180/7 mm/in
Folded length: 760/30 mm/in
Weight: 3,4/7,5 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 300/12 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10775 Channel ramp, Foldable, Low edge, 2000x180 mm",10775,vikbar-skena,portable,10775,"Portabel skena, 2-delad vikbar, 2000x180, låg kant","10775 Channel ramp, Foldable, Low edge, 2000x180 mm",2000,180,180,1020,6,150,400,,,"Längd: 2020 mm
Bredd insida: 180 mm
Längd ihopvikt: 1020 mm
Vikt: 6 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2000/79 mm/in
Inside width: 180/7 mm/in
Folded length: 1010/40 mm/in
Weight: 6,0/13,2 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
