article_number,application,new_product_slug,excel_sheet,excel_name_sv,old_product_slug,old_category_key,match_status
10851,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 1600x820",iramp-vehicle-tvadelad,fordonsramper,matched
10853,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 1800x820",iramp-vehicle-tvadelad,fordonsramper,matched
10855,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2000x820",iramp-vehicle-tvadelad,fordonsramper,matched
10861,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2200x820",iramp-vehicle-tvadelad,fordonsramper,matched
10863,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2400x820",iramp-vehicle-tvadelad,fordonsramper,matched
10872,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2600x820",iramp-vehicle-tvadelad,fordonsramper,matched
10874,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2800x820",iramp-vehicle-tvadelad,fordonsramper,matched
12374,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 1600x900",iramp-vehicle-tvadelad,fordonsramper,matched
10852,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 1800x900",iramp-vehicle-tvadelad,fordonsramper,matched
10854,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2000x900",iramp-vehicle-tvadelad,fordonsramper,matched
10860,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2200x900",iramp-vehicle-tvadelad,fordonsramper,matched
10862,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2400x900",iramp-vehicle-tvadelad,fordonsramper,matched
10871,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2600x900",iramp-vehicle-tvadelad,fordonsramper,matched
10873,fordon,fordonsmonterad-2-delad-ramp,Fordonsmonterad 2-delad ramp,"Fordonsmonterad ramp, 2-delad, 2800x900",iramp-vehicle-tvadelad,fordonsramper,matched
10870,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 2500x820",iramp-vehicle-tredelad,fordonsramper,matched
10881,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 2800x820",iramp-vehicle-tredelad,fordonsramper,matched
10883,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3100x820",iramp-vehicle-tredelad,fordonsramper,matched
10885,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3400x820",iramp-vehicle-tredelad,fordonsramper,matched
10887,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3700x820",iramp-vehicle-tredelad,fordonsramper,matched
10889,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 4000x820",iramp-vehicle-tredelad,fordonsramper,matched
10891,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 4300x820",iramp-vehicle-tredelad,fordonsramper,matched
10869,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 2500x900",iramp-vehicle-tredelad,fordonsramper,matched
10880,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 2800x900",iramp-vehicle-tredelad,fordonsramper,matched
10882,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3100x900",iramp-vehicle-tredelad,fordonsramper,matched
10884,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3400x900",iramp-vehicle-tredelad,fordonsramper,matched
10886,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 3700x900",iramp-vehicle-tredelad,fordonsramper,matched
10888,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 4000x900",iramp-vehicle-tredelad,fordonsramper,matched
10890,fordon,fordonsmonterad-3-delad-ramp,Fordonsmonterad 3-delad ramp,"Fordonsmonterad ramp, 3-delad, 4300x900",iramp-vehicle-tredelad,fordonsramper,matched
