Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"12374 Loading ramp, 2-piece, 1600x900 mm",12374,iramp-vehicle-tvadelad,fordonsramper,12374,"12374 Lastramp, 2-delad, 1600x900 mm","12374 Loading ramp, 2-piece, 1600x900 mm",1600,900,,,961,,,,,,,,"(A) Längd plattform: 1600 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1600 mm
(B) Platform width: 900 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10852 Loading ramp, 2-piece, 1800x900 mm",10852,iramp-vehicle-tvadelad,fordonsramper,10852,"10852 Lastramp, 2-delad, 1800x900 mm","10852 Loading ramp, 2-piece, 1800x900 mm",1800,900,,,1061,,,,,,,,"(A) Längd plattform: 1800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1800 mm
(B) Platform width: 900 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10854 Loading ramp, 2-piece, 2000x900 mm",10854,iramp-vehicle-tvadelad,fordonsramper,10854,"10854 Lastramp, 2-delad, 2000x900 mm","10854 Loading ramp, 2-piece, 2000x900 mm",2000,900,,,1161,,,,,,,,"(A) Längd plattform: 2000 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2000 mm
(B) Platform width: 900 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10860 Loading ramp, 2-piece, 2200x900 mm",10860,iramp-vehicle-tvadelad,fordonsramper,10860,"10860 Lastramp, 2-delad, 2200x900 mm","10860 Loading ramp, 2-piece, 2200x900 mm",2200,900,,,1261,,,,,,,,"(A) Längd plattform: 2200 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2200 mm
(B) Platform width: 900 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10862 Loading ramp, 2-piece, 2400x900 mm",10862,iramp-vehicle-tvadelad,fordonsramper,10862,"10862 Lastramp, 2-delad, 2400x900 mm","10862 Loading ramp, 2-piece, 2400x900 mm",2400,900,,,1361,,,,,,,,"(A) Längd plattform: 2400 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2400 mm
(B) Platform width: 900 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10871 Loading ramp, 2-piece, 2600x900 mm",10871,iramp-vehicle-tvadelad,fordonsramper,10871,"10871 Lastramp, 2-delad, 2600x900 mm","10871 Loading ramp, 2-piece, 2600x900 mm",2600,900,,,1461,,,,,,,,"(A) Längd plattform: 2600 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2600 mm
(B) Platform width: 900 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10873 Loading ramp, 2-piece, 2800x900 mm",10873,iramp-vehicle-tvadelad,fordonsramper,10873,"10873 Lastramp, 2-delad, 2800x900 mm","10873 Loading ramp, 2-piece, 2800x900 mm",2800,900,,,1561,,,,,,,,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 900 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10851 Loading ramp, 2-piece, 1600x820 mm",10851,iramp-vehicle-tvadelad,fordonsramper,10851,"10851 Lastramp, 2-delad, 1600x820 mm","10851 Loading ramp, 2-piece, 1600x820 mm",1600,820,,,961,,,,,,,,"(A) Längd plattform: 1600 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1600 mm
(B) Platform width: 820 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10853 Loading ramp, 2-piece, 1800x820 mm",10853,iramp-vehicle-tvadelad,fordonsramper,10853,"10853 Lastramp, 2-delad, 1800x820 mm","10853 Loading ramp, 2-piece, 1800x820 mm",1800,820,,,1061,,,,,,,,"(A) Längd plattform: 1800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 1800 mm
(B) Platform width: 820 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10855 Loading ramp, 2-piece, 2000x820 mm",10855,iramp-vehicle-tvadelad,fordonsramper,10855,"10855 Lastramp, 2-delad, 2000x820 mm","10855 Loading ramp, 2-piece, 2000x820 mm",2000,820,,,1161,,,,,,,,"(A) Längd plattform: 2000 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2000 mm
(B) Platform width: 820 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
