Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"11068 Channel ramp, Fixed, 550x210 mm",11068,fasta-ramper,portabla-ramper,11068,"11068 Ramp, 550x210 mm","11068 Channel ramp, Fixed, 550x210 mm",550,,210,,,1.5,200,100,,,,,"Längd: 550 mm
Bredd insida: 210 mm
Vikt: 1,5 kg
Maxlast: 200 kg
Rek. maxhöjd: 100 mm","Length: 550/22 mm/in
Inside width: 210/8 mm/in
Weight: 1,5/3,3 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 100/4 mm/in",,https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"11070 Channel ramp, Fixed, 1160x210 mm",11070,fasta-ramper,portabla-ramper,11070,"11070 Ramp, 1160x210 mm","11070 Channel ramp, Fixed, 1160x210 mm",1160,,210,,,3.1,200,200,,,,,"Längd: 1160 mm
Bredd insida: 210 mm
Vikt: 3,1 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1160/46 mm/in
Inside width: 210/8 mm/in
Weight: 3,1/6,8 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"11072 Channel ramp, Fixed, 1060x270 mm",11072,fasta-ramper,portabla-ramper,11072,"11072 Ramp, 1060x270 mm","11072 Channel ramp, Fixed, 1060x270 mm",1060,,270,,,3.5,200,200,,,,,"Längd: 1060 mm
Bredd insida: 270 mm
Vikt: 3,5 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1060/42 mm/in
Inside width: 270/11 mm/in
Weight: 3,5/7,7 kg/ib
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/fasta-ramper,https://www.feal.se/ramps/portable-ramps/fixed-ramps
"11039 Channel ramp, Telescopic, 850x190 mm",11039,teleskopramper,portabla-ramper,11039,"11039 Skena, Teleskopisk, 850x190 mm","11039 Channel ramp, Telescopic, 850x190 mm",850,,190,580,,2.8,200,200,,,,,"Längd: 850 mm
Bredd insida: 190 mm
Längd ihopvikt: 580 mm
Vikt: 2,8 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 900/35 mm/in
Inside width: 190/7 mm/in
Folded length: 580/23 mm/in
Weight: 2,8/6,1 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/teleskopramper,https://www.feal.se/ramps/portable-ramps/teleskopic-ramps
"11041 Channel ramp, Telescopic, 1190x190 mm",11041,teleskopramper,portabla-ramper,11041,"11041 Skena, Teleskopisk, 1190x190 mm","11041 Channel ramp, Telescopic, 1190x190 mm",1190,,190,760,,3.7,200,250,,,,,"Längd: 1190 mm
Bredd insida: 190 mm
Längd ihopvikt: 760 mm
Vikt: 3,7 kg
Maxlast: 200 kg
Rek. maxhöjd: 250 mm","Length: 1190/47 mm/in
Inside width: 190/7 mm/in
Folded length: 750/30 mm/in
Weight: 3,7/8,1 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 300/10 mm/in",,https://www.feal.se/ramper/portabla-ramper/teleskopramper,https://www.feal.se/ramps/portable-ramps/teleskopic-ramps
"11043 Channel ramp, Telescopic, 2020x190 mm",11043,teleskopramper,portabla-ramper,11043,"11043 Skena, Teleskopisk, 2020x190 mm","11043 Channel ramp, Telescopic, 2020x190 mm",2020,,190,1160,,5.6,150,400,,,,,"Längd: 2020 mm
Bredd insida: 190 mm
Längd ihopvikt: 1160
Vikt: 5,6 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2020/80 mm/in
Inside width: 190/7 mm/in
Folded length: 1160/46 mm/in
Weight: 5,6/12,3 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/teleskopramper,https://www.feal.se/ramps/portable-ramps/teleskopic-ramps
"11044 Channel ramp, Telescopic, 3-piece, 1990x170 mm",11044,teleskopramper,portabla-ramper,11044,"11044 Skena, Teleskopisk, 3-delad, 1990x170 mm","11044 Channel ramp, Telescopic, 3-piece, 1990x170 mm",1990,,170,870,,6.0,150,400,,,,,"Längd: 1990 mm
Bredd insida: 170 mm
Längd ihopvikt: 870 mm
Vikt: 6,0 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 1990/78 mm/in
Inside width: 170/7 mm/in
Folded length: 870/34 mm/in
Weight: 6,5/14,3 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/teleskopramper,https://www.feal.se/ramps/portable-ramps/teleskopic-ramps
"11047 Channel ramp, Telescopic, 3-piece, 2850x170 mm",11047,teleskopramper,portabla-ramper,11047,"11047 Skena, Teleskopisk, 3-delad, 2850x170 mm","11047 Channel ramp, Telescopic, 3-piece, 2850x170 mm",2850,,170,1160,,8.2,125,600,,,,,"Längd: 2850 mm
Bredd insida: 170 mm
Längd ihopvikt: 1160 mm
Vikt: 8,2 kg
Maxlast: 125 kg
Rek. maxhöjd: 600 mm","Length: 2850/113 mm/in
Inside width: 170/7 mm/in
Folded length: 1160/46 mm/in
Weight: 8,2/18,0 kg/lb
Max. load: 125/275 kg/lb
Recommended max. height: 600/24 mm/in",,https://www.feal.se/ramper/portabla-ramper/teleskopramper,https://www.feal.se/ramps/portable-ramps/teleskopic-ramps
"10743 Channel ramp, Foldable, 1110x210 mm",10743,vikbara-ramper,portabla-ramper,10743,"10743 Skena, Vikbar, 1110x210 mm","10743 Channel ramp, Foldable, 1110x210 mm",1110,,210,570,,3.8,200,200,,,,,"Längd: 1110 mm
Bredd insida: 210 mm
Längd ihopvikt: 570 mm
Vikt: 3,8 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1100/43 mm/in
Inside width: 210/8 mm/in
Folded length (cm/in): 57/22
Weight: 3,8/8,3 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10745 Channel ramp, Foldable, 1510x210 mm",10745,vikbara-ramper,portabla-ramper,10745,"10745 Skena, Vikbar, 1510x210 mm","10745 Channel ramp, Foldable, 1510x210 mm",1510,,210,770,,4.9,200,300,,,,,"Längd: 1510 mm
Bredd insida: 210 mm
Längd ihopvikt: 770 mm
Vikt: 4,9 kg
Maxlast: 200 kg
Rek. maxhöjd: 300 mm","Length: 1510/59 mm/in
Inside width: 210/8 mm/in
Folded length: 760/30 mm/in
Weight: 4,9/10,8 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 300/12 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
