Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10960 Ramp, 500x900 mm",10960,systemramp-standard-ramper,system-och-modulramper,10960,"10960 Ramp, 500x900 mm","10960 Ramp, 500x900 mm",500,900,,,,6,400,,,,,,"Längd: 500 mm
Bredd: 900 mm
Vikt: 6 kg
Maxlast: 400 kg","Length: 500/20 mm/in
Width: 900/35 mm/in
Weight: 6/13,2 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10964 Ramp, 1000x900 mm",10964,systemramp-standard-ramper,system-och-modulramper,10964,"10964 Ramp, 1000x900 mm","10964 Ramp, 1000x900 mm",1000,900,,,,12,400,,,,,,"Längd: 1000 mm
Bredd: 900 mm
Vikt: 12 kg
Maxlast: 400 kg","Length: 1000/40 mm/in
Width: 900/35 mm/in
Weight: 12/26,4 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10968 Ramp, 1250x900 mm",10968,systemramp-standard-ramper,system-och-modulramper,10968,"10968 Ramp, 1250x900 mm","10968 Ramp, 1250x900 mm",1250,900,,,,15,400,,,,,,"Längd: 1250 mm
Bredd: 900 mm
Vikt: 15 kg
Maxlast: 400 kg","Length: 1250/49 mm/in
Width: 900/35 mm/in
Weight: 15/33,1 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10972 Ramp, 1500x900 mm",10972,systemramp-standard-ramper,system-och-modulramper,10972,"10972 Ramp, 1500x900 mm","10972 Ramp, 1500x900 mm",1500,900,,,,18,400,,,,,,"Längd: 1500 mm
Bredd: 900 mm
Vikt: 18 kg
Maxlast: 400 kg","Length: 1500/59 mm/in
Width: 900/35 mm/in
Weight: 18/39,7 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10976 Ramp, 2000x900 mm",10976,systemramp-standard-ramper,system-och-modulramper,10976,"10976 Ramp, 2000x900 mm","10976 Ramp, 2000x900 mm",2000,900,,,,24,400,,,,,,"Längd: 2000 mm
Bredd: 900 mm
Vikt: 24 kg
Maxlast: 400 kg","Length: 2000/79 mm/in
Width: 900/35 mm/in
Weight: 24/53,0 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10980 Ramp, 2500x900 mm",10980,systemramp-standard-ramper,system-och-modulramper,10980,"10980 Ramp, 2500x900 mm","10980 Ramp, 2500x900 mm",2500,900,,,,30,400,,,,,,"Längd: 2500 mm
Bredd: 900 mm
Vikt: 30 kg
Maxlast: 400 kg","Length: 2500/98 mm/in
Width: 900/35 mm/in
Weight: 30/66,1 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10985 Ramp, 3000x900 mm",10985,systemramp-standard-ramper,system-och-modulramper,10985,"10985 Ramp, 3000x900 mm","10985 Ramp, 3000x900 mm",3000,900,,,,36,400,,,,,,"Längd: 3000 mm
Bredd: 900 mm
Vikt: 36 kg
Maxlast: 400 kg","Length: 3000/118 mm/in
Width: 900/35mm/in
Weight: 36/79,4 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10943 Platform, 90°, Broken corner, 1250x1250 mm",10943,systemramp-standard-vilplaner,system-och-modulramper,10943,"10943 Plattform, 90°, Brutet hörn, 1250x1250 mm","10943 Platform, 90°, Broken corner, 1250x1250 mm",,,,,,18,400,,,90,Mått: 1250 x 1250 mm,,"Mått: 1250 x 1250 mm
Vinkel: 90°
Vikt: 18 kg
Maxlast: 400 kg","Dimensions: 1250x1250 mm, 49x49 in
Angle: 90°
Weight: 18/39,7 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10944 Platform, 180°, 1250x2000 mm",10944,systemramp-standard-vilplaner,system-och-modulramper,10944,"10944 Plattform, 180°, 2000x1250 mm","10944 Platform, 180°, 1250x2000 mm",,,,,,30,400,,,180,Mått: 1250x2000 mm,,"Mått: 1250x2000 mm
Vinkel: 180°
Vikt: 30 kg
Maxlast: 400 kg","Dimensions: 1250x2000mm, 49 x 79 in
Angle: 180°
Weight: 30/66,1 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10947 Platform, 90°, Broken corner, 1500x1500 mm",10947,systemramp-standard-vilplaner,system-och-modulramper,10947,"10947 Plattform, 90°, Brutet hörn, 1500x1500 mm","10947 Platform, 90°, Broken corner, 1500x1500 mm",,,,,,24,400,,,90,Mått: 1500x1500 mm,,"Mått: 1500x1500 mm
Vinkel: 90°
Vikt: 24 kg
Maxlast: 400 kg","Dimensions: 1500x1500 mm, 59x59 in
Angle: 90°
Weight: 24/52,9 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
"10640 Platform, 22°,",10640,systemramp-standard-vilplaner,system-och-modulramper,10640,"10640 Plattform, 22°,","10640 Platform, 22°,",,,,,,,400,,,22.5,,,"Bredd 900 mm
Vinkel: 22,5°
Maxlast: 400 kg","Width 900 mm
Angle: 22,5°
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/system-och-modulramper/systemramp-standard,https://www.feal.se/ramps/system-and-modular-ramps/system-ramp-standard
