Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10558 Threshold ramp, Oak, 150x1000 mm",10558,troeskelramper-aluminium,troskelramper-och-tackplatar,10558,"10558 Aluminium, Ek, 150x1000 mm","10558 Threshold ramp, Oak, 150x1000 mm",150,1000,,,,,,,,,,,"Längd: 150 mm
Bredd: 1000 mm","Length: 150 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10584 Threshold ramp, Oak, 250x1000 mm",10584,troeskelramper-aluminium,troskelramper-och-tackplatar,10584,"10584 Aluminium, Ek, 250x1000 mm","10584 Threshold ramp, Oak, 250x1000 mm",250,1000,,,,,,,,,,,"Längd: 250 mm
Bredd: 1000 mm","Length: 250 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10589 Threshold ramp, Oak, 330x1000 mm",10589,troeskelramper-aluminium,troskelramper-och-tackplatar,10589,"10589 Aluminium, Ek, 330x1000 mm","10589 Threshold ramp, Oak, 330x1000 mm",330,1000,,,,,,,,,,,"Längd: 330
Bredd: 1000 mm","Length: 330 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10560 Threshold ramp, Oak, 150x2500 mm",10560,troeskelramper-aluminium,troskelramper-och-tackplatar,10560,"10560 Aluminium, Ek, 150x2500 mm","10560 Threshold ramp, Oak, 150x2500 mm",150,2500,,,,,,,,,,,"Längd: 150 mm
Bredd: 2500 mm","Length: 150 mm
Width: 2500 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10586 Threshold ramp, Oak, 250x2500 mm",10586,troeskelramper-aluminium,troskelramper-och-tackplatar,10586,"10586 Aluminium, Ek, 250x2500 mm","10586 Threshold ramp, Oak, 250x2500 mm",250,2500,,,,,,,,,,,"Längd: 250 mm
Bredd: 2500 mm","Length: 250 mm
Width: 2500 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10591 Threshold ramp, Oak, 330x2500 mm",10591,troeskelramper-aluminium,troskelramper-och-tackplatar,10591,"10591 Aluminium, Ek, 330x2500 mm","10591 Threshold ramp, Oak, 330x2500 mm",330,2500,,,,,,,,,,,"Längd: 330 mm
Bredd: 2500 mm","Length: 330 mm
Width: 2500 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10556 Threshold ramp, Checker plate, 150x1000 mm",10556,troeskelramper-aluminium,troskelramper-och-tackplatar,10556,"10556 Aluminium, Durk, 150x1000 mm","10556 Threshold ramp, Checker plate, 150x1000 mm",150,1000,,,,,,,,,,,"Längd: 150 mm
Bredd: 1000 mm","Length: 150 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10581 Threshold ramp, Checker plate, 245x1000 mm",10581,troeskelramper-aluminium,troskelramper-och-tackplatar,10581,"10581 Aluminium, Durk, 245x1000 mm","10581 Threshold ramp, Checker plate, 245x1000 mm",245,1000,,,,,,,,,,,"Längd: 245 mm
Bredd: 1000 mm","Length: 245 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10592 Threshold ramp, Checker plate, 345x1000 mm",10592,troeskelramper-aluminium,troskelramper-och-tackplatar,10592,"10592 Aluminium, Durk, 345x1000 mm","10592 Threshold ramp, Checker plate, 345x1000 mm",345,1000,,,,,,,,,,,"Längd: 345 mm
Bredd: 1000 mm","Length: 345 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
"10594 Threshold ramp, Checker plate, 400x1000 mm",10594,troeskelramper-aluminium,troskelramper-och-tackplatar,10594,"10594 Aluminium, Durk, 400x1000 mm","10594 Threshold ramp, Checker plate, 400x1000 mm",400,1000,,,,,,,,,,,"Längd: 400 mm
Bredd: 1000 mm","Length: 400 mm
Width: 1000 mm",,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium
